Page Title,Owner,File Formats,Description,Date Last Updated,License,Update Frequency,Access
10 Year Cycling Network Plan – On-Street (2016) - City of Toronto Open Data Portal,Transportation Services,shp,"On June 9, 2016 Toronto City Council approved a Cycling Network Plan to Connect, Grow and Renew infrastructure for Toronto's cycling routes over the next ten years.","Jul 23, 2019",Open Government License - Toronto,As available,75%
10 Year Cycling Network Plan – Trails (2016) - City of Toronto Open Data Portal,Transportation Services,shp,"On June 9, 2016 Toronto City Council approved a Cycling Network Plan to Connect, Grow and Renew infrastructure for Toronto's cycling routes over the next ten years.","Jul 23, 2019",Open Government License - Toronto,As available,75%
2013 Street Needs Assessment Results - City of Toronto Open Data Portal,"Shelter, Support & Housing Administration",xlsx,"The Street Needs Assessment survey was conducted by City staff, community partner agencies and volunteers on April 17th, 2013. Just under two thousand individuals experiencing homelessness provided responses. Respondents were surveyed outdoors, in shelter locations, health and treatment facilities and correctional facilities. The results of the 2013 Street Needs Assessment were summarized in a staff report and a statistical results report, approved by Council in October 2013.","May 1, 2014",Open Government License - Toronto,Will not be Refreshed,75%
2018 Street Needs Assessment Results - City of Toronto Open Data Portal,"Shelter, Support & Housing Administration",xlsx,"The Street Needs Assessment (SNA) is a survey and point-in-time count of people experiencing homelessness in Toronto on April 26, 2018. The results provide a snapshot of the scope and profile of the City's homeless population. The results also give people experiencing homelessness a voice in the services they need to find and keep housing. The 2018 SNA is the City's fourth homeless count and survey and was part of a coordinated point-in-time count conducted by communities across Canada and Ontario. The results of the 2018 Street Needs Assessment were summarized in a report and key highlights slide deck.","Dec 31, 2018",Open Government License - Toronto,Will not be Refreshed,75%
2021 Street Needs Assessment Results - City of Toronto Open Data Portal,"Shelter, Support & Housing Administration",xlsx,"The Street Needs Assessment (SNA) is a survey and point-in-time count of people experiencing homelessness in Toronto conducted in April, 2021 led by the City’s Shelter, Support and Housing Administration (SSHA) in collaboration with community partners in the homelessness sector. The results provide a snapshot of the scope and profile of people experiencing homelessness in Toronto and give people experiencing homelessness a voice in the services they need to find and keep housing. ","Sept 30, 2022",Open Government License - Toronto,Will not be Refreshed,50%
2022 – 2024 Cycling Program - City of Toronto Open Data Portal,Transportation Services,zip,"Toronto's Cycling Network Plan consists of three components: a Long-Term Cycling Network Vision, the Major City-Wide Cycling Routes, and a three year rolling Near-Term Implementation Program. For more information about the plan, visit toronto.ca/cyclingnetwork","Dec 20, 2022",Open Government License - Toronto,As available,50%
311 Contact Centre Performance Metrics - City of Toronto Open Data Portal,311 Toronto,web,"This dataset outlines a number of key performance metrics of the 311 Contact Centre calculated for daily, weekly, monthly and yearly bases. This information is used by 311 for planning purposes and will help provide an understanding of the services that 311 provides, peak service level periods and overall trends in providing services to the City of Toronto.","Oct 30, 2019",Open Government License - Toronto,Monthly,75%
311 - Open311 API Calls for Service Requests - City of Toronto Open Data Portal,311 Toronto,doc,"This dataset is retired as of December 5, 2021 & will not be updated.","Jul 23, 2019",Open Government License - Toronto,Will not be Refreshed,
311 Service Request Codes - City of Toronto Open Data Portal,311 Toronto,xls,This data set is retired. A new data set replaces at: 311 Service Requests - Customer Initiated,"Jul 23, 2019",Open Government License - Toronto,Will not be Refreshed,
311 Service Requests - Customer Initiated - City of Toronto Open Data Portal,311 Toronto,zip,"The dataset contains information on customer initiated service requests received by 311 Toronto. This data was collected from multiple channels including telephone, fax, email, online self-serve requests, mobile API and Twitter.","Oct 8, 2023",Open Government License - Toronto,Monthly,90%
3D Massing - City of Toronto Open Data Portal,City Planning,shp,"Exploring new ways to share information with each other is a cornerstone of improving the planning process. To do this it is essential to have city-wide data in accessible formats. A variety of 3D digital information and models exist but currently the data is not readily available to the general public. Providing a consistent city-wide 3D data source will link these digital city planning models and materials together and will allow us to imagine our city from different perspectives. The Open Data site will enable access to application developers, designers, urban planners and architects, and the public. Ideally this will enable the creation of a visual portal and access to a large collection of city building ideas.","Nov 30, 2022",Open Government License - Toronto,Annually,90%
Active Affordable and Social Housing Units - City of Toronto Open Data Portal,Housing Secretariat,,This dataset contains information on the active social housing stock and the active affordable housing stock that are under the City's administration. Social housing is administered by the City to make rent affordable for low and moderate-income households. Affordable Housing refers to rental homes under the City's administration that meet the provincial definition of affordability.,"Mar 20, 2023",Open Government License - Toronto,Quarterly,100%
Address Points (Municipal) - Toronto One Address Repository - City of Toronto Open Data Portal,Information & Technology,zip,"The One Address Repository data set provides a point representation for over 500,000 addresses within the City of Toronto. Each address point is described with a series of attributes including street number, street name, address type, feature class and real world coordinates.","Oct 12, 2023",Open Government License - Toronto,Daily,
Agency Survey Results on COVID-19 Recovery And Rebuild - City of Toronto Open Data Portal,Toronto Office of Recovery and Rebuild,xlsx,"An online survey of the City’s partner organizations was conducted from June 22 to July 31, 2020 by City staff in Social Development Finance and Administration Division.  This survey received input from 240 respondents on the impacts of the COVID-19 pandemic on service delivery, staff and best practices that could support the City’s service partnership models for pandemic planning.","Oct 14, 2020",Open Government License - Toronto,As available,75%
Air Conditioned and Cool Spaces (Heat Relief Network) - City of Toronto Open Data Portal,Toronto Public Health,,"The City of Toronto coordinates a Heat Relief Network throughout the summer season from May 15 – September 30, which includes air conditioned and cool spaces. The public can access cool spaces across the City, including libraries, community centres, pools, splash pads, some Civic Centres and City facilities, drop-ins and several private and non-profit organizations, including shopping malls and YMCA locations. These cool spaces are open to the public during their regular business hours. This dataset includes information on the participating Heat Relief Network locations. The dataset compiles information from a variety of sources.","Apr 22, 2022",Open Government License - Toronto,Daily,
Air Conditioned Public Places & Cooling Centres - City of Toronto Open Data Portal,Toronto Public Health,json,This dataset has been retired and replaced with Air Conditioned and Cool Spaces (Heat Relief Network),"Mar 10, 2022",Open Government License - Toronto,Will not be Refreshed,
Ambulance Station Locations - City of Toronto Open Data Portal,Toronto Paramedic Services,shp,This geographical file contains the locations of ambulance stations within the City of Toronto. This dataset also contains the district offices. This information is used for reference and planning purposes.,"Nov 29, 2022",Open Government License - Toronto,As available,
Annual Energy Consumption - City of Toronto Open Data Portal,Environment & Energy,xlsx,Energy consumption and GHG emissions data as per requirements under Ontario Regulation 25/23 under the Electricity Act.,"Jul 4, 2023",Open Government License - Toronto,Annually,90%
Annual Summary of Reportable Communicable Diseases - City of Toronto Open Data Portal,Toronto Public Health,csv,"This dataset has not been update since 2019 due to COVID-19, and will be resumed in 2023.","Mar 10, 2022",Open Government License - Toronto,Annually,100%
Apartment Building Evaluation - City of Toronto Open Data Portal,Municipal Licensing & Standards,,RentSafeTO: Apartment Building Standards is a bylaw enforcement program established in 2017 to ensure that owners and operators of apartment buildings with three or more storeys or 10 or more units comply with building maintenance standards. Learn more about RentSafeTO.,"Oct 12, 2023",Open Government License - Toronto,Daily,99%
Automated Speed Enforcement (ASE) Charges - City of Toronto Open Data Portal,Transportation Services,xlsx,"This dataset contains the number of Automated Speed Enforcement (ASE) tickets issued each month in the 
City of Toronto from July 6, 2020 to Present. There are currently 50 ASE systems installed in Community 
Safety Zones near schools, with two systems installed in each ward. The ASE units are mobile and rotate 
every 3-6 months. For Automated Speed Enforcement Locations, see here.","Sept 29, 2023",Open Government License - Toronto,Monthly,90%
Automated Speed Enforcement Locations - City of Toronto Open Data Portal,Transportation Services,,"Automated Speed Enforcement (ASE) is an automated system that uses a camera and a speed measurement
device to detect and capture images of vehicles travelling in excess of the posted speed limit. It is designed to
work in tandem with other methods and strategies, including engineering measures, education initiatives and
traditional police enforcement. ASE is focused on altering driver behaviour to decrease speeding and increase
safety.","Oct 5, 2023",Open Government License - Toronto,Daily,
Automatic External Defibrillators (AED) Locations - City of Toronto Open Data Portal,Toronto Paramedic Services,xlsx,Locations of automatic external defibrillators (AED) available to the public when needed. The purpose of this dataset is to track the installation and location of public access AEDs in order to maintain the device and to track its usage.,"Mar 10, 2023",Open Government License - Toronto,Quarterly,75%
Basement flooding by ward - City of Toronto Open Data Portal,Toronto Water,xlsx,Service requests by ward due to basement flooding and number of approved applications by ward for the City's Basement Flooding Subsidy Protection Program since 2013.,"Jul 17, 2023",Open Government License - Toronto,As available,90%
Bicycle Count and Locations - City of Toronto Open Data Portal,Transportation Services,shp,"Data includes when and where cyclists are riding, and other characteristics about cyclists such as helmet use, gender, side-walk riding, and whether the cyclist is transporting a passenger. The data is fully anonymous and a report on the findings of the 2010 September Bicycle Count is available at http://www.toronto.ca/cycling/index.htm","Jul 23, 2019",Open Government License - Toronto,As available,75%
Bicycle Counts - City of Toronto Open Data Portal,Transportation Services,zip,Two separate data sets are available:,"Jul 23, 2019",Open Government License - Toronto,Will not be Refreshed,
Bicycle Parking - Bike Stations (Indoor) - City of Toronto Open Data Portal,Transportation Services,,"This dataset contains the locations of all the indoor bike station facilities
located in the City of Toronto.","Jun 7, 2022",Open Government License - Toronto,Daily,
Bicycle Parking - High Capacity (Outdoor) - City of Toronto Open Data Portal,Transportation Services,,"This dataset identifies the location of all outdoor high capacity bicycle
parking installed by the City of Toronto.  This includes bicycle parking such
as bike corrals and bike shelters.","Oct 5, 2023",Open Government License - Toronto,Daily,
Bicycle Parking Racks - City of Toronto Open Data Portal,Transportation Services,shp,"Shapefile of permanent and seasonal multiple-capacity bicycle parking racks
installed and managed by the Cycling Infrastructure and Programs Unit","Nov 29, 2022",Open Government License - Toronto,Quarterly,
Bicycle Post and Ring Locations - City of Toronto Open Data Portal,Transportation Services,xls,This dataset is retired. The following datasets now replace it: Street Furniture - Bicycle Parking,"Jul 23, 2019",Open Government License - Toronto,Will not be Refreshed,
Bicycle Shops - City of Toronto Open Data Portal,Transportation Services,,"This datast is no longer being maintained. It has been retired as of April 15, 2019","Nov 29, 2022",Open Government License - Toronto,Will not be Refreshed,
Bicycle Thefts - City of Toronto Open Data Portal,Toronto Police Services,,"This dataset contains Bicycle Thefts occurrences by reported date and details regarding the stolen item where available.
This data includes all bicycle theft occurrences reported to the Toronto Police Service, including those where the location has not been able to be verified. As a result, coordinate fields may appear blank. Likewise, this includes occurrences where the coordinate location is outside the City of Toronto.","Apr 4, 2023",Open Government License - Toronto,Annually,
Bike Share Toronto - City of Toronto Open Data Portal,Toronto Parking Authority,json,"The Toronto Parking Authority manages the Bike Share Toronto program, a form of local mass transit and an enjoyable way to travel the city by bicycle. The system includes 6,850 bikes, 625 stations with 12,000 docking points. Bike Share stations are located in Toronto, East York, Scarborough, North York, York and Etobicoke.",,Open Government License - Toronto,Real-time,100%
Bike Share Toronto Ridership Data - City of Toronto Open Data Portal,Toronto Parking Authority,xlsx,"The January – December 2019, January – December 2020 & January 2021 Bike Share Toronto ridership dataset
contains anonymized trip data. It includes:","May 2, 2023",Open Government License - Toronto,Monthly,65%
Blacklegged Tick Surveillance - City of Toronto Open Data Portal,Toronto Public Health,,"Toronto’s tick surveillance program monitors the number of blacklegged ticks, their locations and the number of them that carry the bacteria that causes Lyme disease (Borrelia burgdorferi). This information helps to determine the overall risk of Lyme disease in Toronto. Toronto has been engaged in active tick surveillance since 2013.
The tick surveillance program consists of ticks found by dragging.","Mar 10, 2022",Open Government License - Toronto,Semi-annually,100%
Cultural Spaces - City of Toronto Open Data Portal,Economic Development & Culture,xlsx,"This dataset has been expired on January 16th, 2023. EDC  is currently investigating a potential improvement or revision of this dataset. At present, the division is no longer responsible for maintaining or updating this data. Please see this link for information related to Cultural Spaces","Jul 23, 2019",Open Government License - Toronto,Will not be Refreshed,
Cycling Network - City of Toronto Open Data Portal,Transportation Services,,"The Toronto bikeways dataset illustrates the existing cycling network across the city, including both shared and dedicated bikeways. A summary of the network status is available at toronto.ca/cyclingnetwork ","Jan 19, 2023",Open Government License - Toronto,Semi-annually,
Daily Bread Food Banks - Client Visits by Month - City of Toronto Open Data Portal,City Manager's Office,web,Number of client visits to Daily Bread Food Bank member food banks per month beginning in year 2009.,"May 31, 2017",Open Government License - Toronto,Will not be Refreshed,
Daily Shelter Occupancy - City of Toronto Open Data Portal,"Shelter, Support & Housing Administration",,"The data set provides a listing of all the active shelters serving the City of Toronto area. Included in the dataset is the name of the shelter, program name, sector served (i.e. men, women, youth, families) addresses, funded program capacity, and the number of people that occupied those spaces at 4:00 AM the next morning.
For example, the occupancy count of January 1st would be taken on January 2nd at 4 AM.","Mar 10, 2022",Open Government License - Toronto,Will not be Refreshed,
Daily Shelter & Overnight Service Occupancy & Capacity - City of Toronto Open Data Portal,"Shelter, Support & Housing Administration",,"This data set provides a daily list of active overnight shelter and allied services in the Shelter Support and Housing Administration division's Shelter Management Information System (SMIS) database. The data provides daily updated information about shelter and overnight service programs administered by SSHA including the program's operator, location, classification, occupancy and capacity.
This reporting revises and updates the approach taken in the Daily Shelter Occupancy data set, starting with the current year data for 2021. This new data set includes the following revisions:","Oct 12, 2023",Open Government License - Toronto,Daily,100%
Death Registry Statistics - City of Toronto Open Data Portal,City Clerk's Office,,"This dataset includes information relating to the registration of deaths
documented by Registry Services staff located in four of the civic centres
(Scarborough, North York, Toronto and Etobicoke). Registration of death data
is entered into the Registry Services Tracking System (RSTS), from which
aggregate statistical information is generated to create the dataset. The
dataset resides in an Oracle database in the City's environment.","Oct 2, 2023",Open Government License - Toronto,Monthly,100%
Deaths of People Experiencing Homelessness - City of Toronto Open Data Portal,Toronto Public Health,,"Starting in January 2017, Toronto Public Health (TPH) began tracking the deaths of people experiencing homelessness to get a more accurate estimate of the number of deaths and their causes.  TPH leads the data collection, analysis and reporting. The Shelter, Support and Housing Administration (SSHA) and health and social service agencies that support people experiencing homelessness share information about a death with TPH and the Office of the Chief Coroner of Ontario (OCCO) verifies some of the data.  For this data collection initiative, homelessness is defined as “the situation of an individual or family without stable, permanent, appropriate housing, or the immediate prospect, means and ability of acquiring it”.","Sept 29, 2023",Open Government License - Toronto,Semi-annually,100%
Dinesafe - City of Toronto Open Data Portal,Toronto Public Health,,"DineSafe is Toronto Public Health’s food safety program that inspects all establishments serving and preparing food. Each inspection results in a pass, a conditional pass or a closed notice.","Oct 12, 2023",Open Government License - Toronto,Daily,100%
Drop-In Locations (Toronto Drop-In Network Members - TDIN) - City of Toronto Open Data Portal,"Shelter, Support & Housing Administration",shp,See the Readme file: Drop-In Locations (TDIN Members) Readme.xls,"Jul 23, 2019",Open Government License - Toronto,Annually,75%
EarlyON Child and Family Centres - City of Toronto Open Data Portal,Children's Services,json,EarlyON Child and family centres offer free programs to parents/caregivers and their children from birth to six years of age. These centres welcome all families to participate in quality programs that:,"Oct 12, 2023",Open Government License - Toronto,Daily,
Elected Officials' Contact Information - City of Toronto Open Data Portal,City Clerk's Office,xlsx,"This dataset contains contact information of the Mayor and the 25 Councillors elected to City of Toronto Council. The information includes the elected official's name, electoral area (e.g. ward for Councillors, City of Toronto for Mayor), phone number, address, email address, fax number, photo (URL) and web address.","Jul 27, 2023",Open Government License - Toronto,As available,100%
Environmentally Significant Areas - City of Toronto Open Data Portal,City Planning,,The City's Environmentally Significant Areas are shown on Map 12A of the Official Plan.  Environmentally Significant Areas are areas of land or water within the natural heritage system that have characteristics which make them particularly sensitive and require additional protection to preserve their environmentally significant qualities.,"Apr 22, 2022",Open Government License - Toronto,As available,
Fire Hydrants - City of Toronto Open Data Portal,Toronto Water,,This dataset contains the location of all City owned fire hydrants in Toronto.,"Oct 1, 2023",Open Government License - Toronto,Monthly,
Fire Incidents - City of Toronto Open Data Portal,Fire Services,,"This dataset includes only fire incidents as defined by the Ontario Fire Marshal (OFM) up to December 31, 2021.","Oct 10, 2023",Open Government License - Toronto,Annually,100%
Fire Services Emergency Incident Basic Detail - City of Toronto Open Data Portal,Fire Services,,"This dataset includes response time intervals (dispatch, enroute, arrive and clear) and responding units. As per MFIPPA section 31, 32 for the use and disclosure of personal information, to preserve privacy, the data has been aggregated to intersections and forward sortation areas (FSAs) for medical calls.","Oct 7, 2022",Open Government License - Toronto,Annually,
Fire Station Locations - City of Toronto Open Data Portal,Fire Services,shp,The file contains the location of all fire stations and station numbers within the City of Toronto. The locations are identified by XY (latitude and longitude) coordinates.,"Oct 6, 2023",Open Government License - Toronto,As available,
Flood Reporting Noted by Toronto Water Districts - City of Toronto Open Data Portal,Toronto Water,shp,This dataset is no longer being maintained. Please see Basement Flooding by Ward for the latest update.,"Jul 23, 2019",Open Government License - Toronto,Will not be Refreshed,
Forest and Land Cover - City of Toronto Open Data Portal,"Parks, Forestry & Recreation",zip,2008 Study: ,"Aug 17, 2022",Open Government License - Toronto,As available,50%
Green Spaces - City of Toronto Open Data Portal,"Parks, Forestry & Recreation",,"Green Spaces is a geospatial dataset of polygons that is a point-in-time generalized representation of existing parks and open spaces within the City of Toronto. Green Spaces includes public parks, beaches, parts of ravines, golf courses, cemeteries, and other open space areas such as those offered by various private institutions. These spaces may or may not be publicly accessible and are either publicly owned/maintained or they are privately owned/maintained. Green Spaces is not an exhaustive dataset of all the public and private parks and open spaces within the City. It does not encompass all areas protected by the Ravine and Natural Feature Protection By-Law, by Environmentally Significant Areas or by Natural Heritage Areas.  ","Oct 27, 2022",Open Government License - Toronto,As available,
Heat Alerts and Extreme Heat Alerts - City of Toronto Open Data Portal,Toronto Public Health,xml,Information about Heat Alerts and Extreme Heat Alerts is updated daily. Alerts are issued by Toronto's Medical Officer of Health.,"Jul 23, 2019",Open Government License - Toronto,Will not be Refreshed,
Historic Rain Gauge Locations and Precipitation - City of Toronto Open Data Portal,Toronto Water,docx,This dataset is no longer being maintained. Please see Rain Gauge Locations and Precipitation for the latest updates.,"Dec 31, 2014",Open Government License - Toronto,Will not be Refreshed,
Hostel Services: Homeless Shelter Locations - City of Toronto Open Data Portal,"Shelter, Support & Housing Administration",shp,See the Readme file: Emergency Shelters Locations Readme.xls,"Jul 23, 2019",Open Government License - Toronto,As available,75%
Hotel Association Member List for the Greater Toronto Area - City of Toronto Open Data Portal,Economic Development & Culture,xlsx,"The Excel file contains a list of all hotels in the GTA that are members of the Greater Toronto Hotel Association. It does not include a small percentage of hotels in the city that are not members of the Association. The geospatial files identifies hotels in the City of Toronto that are members of the Greater Toronto Hotel Association. The data contains the hotel name, address, and url.","Jul 23, 2019",Open Government License - Toronto,Annually,75%
Intersection File - City of Toronto - City of Toronto Open Data Portal,Information & Technology,,This data was collected for planning and mapping purposes and includes all intersections within the City of Toronto.,"Oct 12, 2023",Open Government License - Toronto,Daily,
Library Branch General Information - City of Toronto Open Data Portal,Toronto Public Library,,"This dataset shows the current characteristics of Toronto Public Library branches, such as location, size, and the availability of specific features (e.g. parking, KidsStops, Digital Innovation Hubs, etc.). Additionally, this dataset provides details on other TPL services & collections (e.g. Answerline, bookmobiles, Home Library Service, Merril Collection, Sunnybrook Hospital, etc.).","Jun 29, 2023",Open Government License - Toronto,Annually,100%
Licensed Child Care Centres - City of Toronto Open Data Portal,Children's Services,,A dataset of all Licensed Child Care Centres in the City of Toronto including their capacities by age group.,"Oct 12, 2023",Open Government License - Toronto,Daily,
"Long-Term Care Locations, City Operated - City of Toronto Open Data Portal",Seniors Services & Long-Term Care,shp,"See ""Long-Term Care Locations Readme"" file","Jul 23, 2019",Open Government License - Toronto,As available,75%
Major City-Wide Cycling Routes - City of Toronto Open Data Portal,Transportation Services,zip,"Toronto's Cycling Network Plan consists of three components: a Long-Term Cycling Network Vision, the Major City-Wide Cycling Routes, and a three year rolling Near-Term Implementation Program. For more information about the plan, visit toronto.ca/cyclingnetwork","Dec 20, 2022",Open Government License - Toronto,As available,50%
Major Crime Indicators - City of Toronto Open Data Portal,Toronto Police Services,,"This dataset includes all Major Crime Indicators (MCI) occurrences by reported date. The Major Crime Indicators categories are Assault, Break and Enter, Auto Theft, Robbery and Theft Over (Excludes Sexual Assaults). This data is provided at the offence and/or victim level, therefore one occurrence number may have several rows of data associated to the various MCIs used to categorize the occurrence. ","Apr 4, 2023",Open Government License - Toronto,Semi-annually,100%
Monthly Communicable Disease Surveillance Data - City of Toronto Open Data Portal,Toronto Public Health,xlsx,"The Health Protection and Promotion Act (HPPA) outlines the communicable diseases that are designated reportable in the province of Ontario.  A list of these diseases can be found the List of Reportable Diseases web page.  Toronto Public Health analyses and reviews data for these diseases on an ongoing basis, and provides monthly summaries of these data.  Given that quality assurance checks are completed prior to analysing and posting these data, there is a reporting lag of approximately two months.  Due to the redeployment of staff to assist with the COVID-19 response, data entry into the provincial reporting system (iPHIS) may lag by more than two months. Data are refreshed on a monthly basis.","Sept 14, 2023",Open Government License - Toronto,Monthly,90%
TTC - Average Weekday Ridership - City of Toronto Open Data Portal,Toronto Transit Commission,web,This data set is no longer maintained. You will find the new data here.,"Mar 31, 2017",Open Government License - Toronto,Will not be Refreshed,
TTC - Monthly Ridership - City of Toronto Open Data Portal,Toronto Transit Commission,web,This data set is no longer maintained. You will find the new data here.,"Mar 31, 2017",Open Government License - Toronto,Will not be Refreshed,
Multilingual Policy - Language Survey - City of Toronto Open Data Portal,City Manager's Office,xlsx,"The City of Toronto conducted an online survey from February 22 to March 10, 2017, to seek input from residents and other members of the public to help determine how and when the City makes information available in languages other than English.  This survey was conducted as a part of the City's review of the Multilingual Services Policy to ensure it continues to meet the needs of Toronto's diverse communities.   ","Mar 31, 2017",Open Government License - Toronto,As available,75%
TTC - Annual Passenger Rides Non-Peak (000s) - City of Toronto Open Data Portal,Toronto Transit Commission,web,"See ""TTC - Annual Passenger Rides Non-Peak Readme"" File  ","Mar 31, 2017",Open Government License - Toronto,Will not be Refreshed,
TTC Annual Passenger Rides Peak (000s) - City of Toronto Open Data Portal,Toronto Transit Commission,web,This data set is no longer maintained. You will find the new data here.,"Mar 31, 2017",Open Government License - Toronto,Will not be Refreshed,
TTC - Ridership Revenues - City of Toronto Open Data Portal,Toronto Transit Commission,web,This data set is no longer maintained. You will find the new data here.,"Mar 31, 2017",Open Government License - Toronto,Will not be Refreshed,
Wellbeing Toronto - Demographics - City of Toronto Open Data Portal,"Social Development, Finance & Administration",xlsx,Demographics (2006 and 2011 Census Data),"Feb 28, 2017",Open Government License - Toronto,As available,75%
TTC Ridership - All Day Weekday for Surface Routes - City of Toronto Open Data Portal,Toronto Transit Commission,xlsx,This dataset lists typical all day and peak hour weekday ridership for each TTC surface route based on the latest available ridership counts.,"Dec 31, 2016",Open Government License - Toronto,As available,75%
