Page Title,Owner,File Formats,Description,Date Last Updated,License,Update Frequency,Access
Parking Lot Facilities - City of Toronto Open Data Portal,"Parks, Forestry & Recreation",xlsx,"This dataset includes data on parking lots operated by the City of Toronto PF&R Division. Parking lots are located in parks or on the building grounds of community centres, schools, pool buildings, etc. These buildings or parks are considered parent assets of parking lots and listed in 'Park Name' column.
A parking lot has certain number of spaces including handicap spots. Every parking lot is identified by (X, Y) GIS coordinate. Parking lots may be private, open for public, or used by members/staff only.  ","Sept 30, 2016",Open Government License - Toronto,Quarterly,75%
Wellbeing Toronto - Demographics: NHS Indicators - City of Toronto Open Data Portal,"Social Development, Finance & Administration",xlsx,"This data set shows the following indicators: population breakdown by ethnicity, household income, education level, employment, age and sex. Data is broken down by the different Toronto neighbourhoods.","Apr 30, 2016",Open Government License - Toronto,As available,75%
"Social Housing - Wait List , Rent Bank Loans Granted and Shelter Use Summary - City of Toronto Open Data Portal","Shelter, Support & Housing Administration",xls,"See ""SSHA Social Housing Summary Readme"" File","Jan 31, 2016",Open Government License - Toronto,Will not be Refreshed,
Solid Waste - Recycled Material Sales Revenue - City of Toronto Open Data Portal,Solid Waste Management Services,xls,"See ""SWM Recycled Material Sales Revenue Readme"" File","Jan 31, 2016",Open Government License - Toronto,Will not be Refreshed,
Social Housing Unit Density by Neighbourhoods - City of Toronto Open Data Portal,"Shelter, Support & Housing Administration",xlsx,"This dataset contains unit density profiles of Social Housing in the City of Toronto for the 140 neighbourhoods that make up the City of Toronto. For Reference Period 2014: Social housing units including Toronto Community Housing Corporation locations, Housing Connections locations, non-profits and co-op developments participating in the Social Housing Wait List.","Oct 31, 2015",Open Government License - Toronto,As available,75%
Poverty Reduction Strategy Consultation - Qualitative Input - City of Toronto Open Data Portal,"Social Development, Finance & Administration",xlsx,"One in four families in Toronto does not have the income necessary to live a healthy life and participate fully in their community. Inequality can be based on geography; some neighbourhoods experience greater poverty than others. People from Aboriginal and racialized communities, newcomers to Canada, people with disabilities, youth and children, lone parents, and others are dealing with the biggest challenges.   ","May 31, 2015",Open Government License - Toronto,As available,75%
Wellbeing Toronto - Housing - City of Toronto Open Data Portal,"Social Development, Finance & Administration",xlsx,"This dataset contains three worksheets. The full description for each column of data is available in the first worksheet called ""IndicatorMetaData"". The data came from various sources including Toronto Community Housing Corporation, City of Toronto's Shelter, Support and Housing Administration, City of Toronto Affordable Housing Office and Statistics Canada. Average Home Price data was taken from Realosophy.com. Refer to the descriptions in worksheet 1 for more information.","Apr 30, 2015",Open Government License - Toronto,As available,75%
Historic Rain Gauge Locations and Precipitation - City of Toronto Open Data Portal,Toronto Water,docx,This dataset is no longer being maintained. Please see Rain Gauge Locations and Precipitation for the latest updates.,"Dec 31, 2014",Open Government License - Toronto,Will not be Refreshed,
Wellbeing Toronto - Civics & Equity Indicators - City of Toronto Open Data Portal,"Social Development, Finance & Administration",xlsx,"This dataset contains Civics and Equity indicators which include information about the diversity index, City grants funding, Salvation Army donors, City Beautification, water main breaks, voter turnout, walk score and neighbourhood equity score.   ","Dec 31, 2014",Open Government License - Toronto,As available,75%
Wellbeing Toronto - Culture - City of Toronto Open Data Portal,"Social Development, Finance & Administration",xlsx,"For Reference Period 2008: Martin Prosperity Institute, Year 2010 data. The Cultural Location Index (CLI) is an economic indicator that shows the intersection of where people who work in culture occupations live and work, and cultural facilities. This indicator was developed to provide a quantifiable city-wide view of the geographic concentration of Toronto's cultural sector. This indicator is positively influenced in part by the physical presence of cultural facilities, and the concentration of the people who live and work in the cultural sector. The indicator does not capture culture as a set of community values or beliefs. As such a community could have a very active cultural life, and be lower on the Cultural Location Index.","Dec 31, 2014",Open Government License - Toronto,As available,75%
Wellbeing Toronto - Economics - City of Toronto Open Data Portal,"Social Development, Finance & Administration",xlsx,"This dataset contains three worksheets. The full description for each column of data is available in the first worksheet called ""IndicatorMetaData"". The data came from Toronto City Planning, Economic Development Culture & Tourism, Children's Services, Employment & Social Services and Municipal Licensing & Standards. Some of the data (i.e. Unemployment Rate) was pending and was not available at the time of publishing. Refer to the descriptions in worksheet 1 for more information.   ","Dec 31, 2014",Open Government License - Toronto,As available,75%
Wellbeing Toronto - Safety - City of Toronto Open Data Portal,"Social Development, Finance & Administration",xlsx,"This dataset contains three worksheets. The full description for each column of data in worksheets two and three is available in the first worksheet called ""IndicatorMetaData"". The data was provided by Toronto's Police Services, Fire Services, Paramedic Services (formerly EMS) and Community Housing Corporation. Refer to the descriptions in worksheet 1 for more information.   ","Dec 31, 2014",Open Government License - Toronto,As available,75%
Wellbeing Toronto - Education - City of Toronto Open Data Portal,"Social Development, Finance & Administration",xlsx,"This dataset contains three worksheets. The full description for each column of data in worksheets two and three is available in the first worksheet called ""IndicatorMetaData"". The data was provided by Toronto Public Library, Toronto District School Board, Toronto Catholic District School Board, Mothercraft, Refer to the descriptions in worksheet 1 for more information.","Dec 31, 2014",Open Government License - Toronto,As available,75%
Wellbeing Toronto - Health - City of Toronto Open Data Portal,"Social Development, Finance & Administration",xlsx,"This dataset contains and number of health indicators by neighbourhood. The full description for each health indicator is noticed in Worksheet 1 called IndicatorMetaData. These health indicators include indicators about various types of cancer screening statistics, Dine Safe inspections, fertility and mortality rates and student nutrition are for various periods of time (read the description for more details about who supplied the data and the vintage of the data).","Dec 31, 2014",Open Government License - Toronto,As available,75%
Wellbeing Toronto - Environment - City of Toronto Open Data Portal,"Social Development, Finance & Administration",xlsx,"This dataset contains three worksheets. The full description for each column of data in worksheets two and three is available in the first worksheet called ""IndicatorMetaData"". The data was provided by Toronto Public Health, Toronto Parks, forestry and Recreation, Federal Ministry of the Environment and Toronto Water. Refer to the descriptions in worksheet 1 for more information.","Dec 31, 2014",Open Government License - Toronto,As available,75%
Wellbeing Toronto - Recreation - City of Toronto Open Data Portal,"Social Development, Finance & Administration",xlsx,"This dataset contains information about recreation programs, registration, various types of facilities and permits.","Dec 31, 2014",Open Government License - Toronto,As available,75%
Wellbeing Toronto - Transportation - City of Toronto Open Data Portal,"Social Development, Finance & Administration",xlsx,This dataset contains three worksheets. The full description for each column of data is available in the first worksheet. The 2008 data is contained in worksheet 2 and 2011 data is contained in worksheet 3.,"Dec 31, 2014",Open Government License - Toronto,As available,75%
Parks and Recreation Facilities - City of Toronto Open Data Portal,"Parks, Forestry & Recreation",xml,"For each of the City of Toronto's parks, and community and recreation centres, provides location information and a list of the major recreation facilities provided at that location. Included in the list for each location are sports facilities, playground equipment, wading pools, splash pads, picnic areas, off-leash dog areas etc. There are approximately 2000 records in the dataset.","Oct 31, 2012",Open Government License - Toronto,As available,75%
Motor Vehicle Collisions involving Killed or Seriously Injured Persons - City of Toronto Open Data Portal,Toronto Police Services,,This dataset includes all traffic collisions events where a person was either Killed or Seriously Injured (KSI) from 2006 – 2021.,"Apr 19, 2023",Open Government License - Toronto,Annually,
Multi-Use Trail Entrances - City of Toronto Open Data Portal,Transportation Services,shp,This dataset contains the location information of entrances to multi-purpose trails in the City of Toronto.,"Jul 23, 2019",Open Government License - Toronto,As available,75%
Municipal Land Transfer Tax Revenue Summary - City of Toronto Open Data Portal,Corporate Finance,xls,"See ""Municipal Land Transfer Tax Revenue Summary Readme"" File ","Jan 31, 2016",Open Government License - Toronto,Will not be Refreshed,
Municipal Licensing and Standards - Business Licence Renewals and New Issues Summary - City of Toronto Open Data Portal,Municipal Licensing & Standards,xls,"See ""MLS Business Licence Renewals and New Issues Readme"" File.","Jan 31, 2016",Open Government License - Toronto,Will not be Refreshed,
Municipal Licensing and Standards - Business Licences and Permits - City of Toronto Open Data Portal,Municipal Licensing & Standards,xls,Category - Type of licence or permit  ,"Oct 12, 2023",Open Government License - Toronto,Daily,100%
Municipal Licensing and Standards - Investigation Activity - City of Toronto Open Data Portal,Municipal Licensing & Standards,zip,"This dataset provides information related to by-law enforcement activity within the City of Toronto of the Municipal Licensing and Standards Division (ML&S). Details of all active investigation matters resulting from complaints/pro-active initiatives are available. In addition, the same details related to investigation matters closed within the last two years are also available.","Oct 12, 2023",Open Government License - Toronto,Daily,90%
Natural Heritage System - City of Toronto Open Data Portal,City Planning,shp,"The City's significant natural heritage features are shown on Map 9 of the Official Plan. The natural heritage system is made up of areas where protecting, restoring and enhancing the natural features and functions should have high priority in city-building decisions.","Oct 23, 2019",Open Government License - Toronto,Annually,75%
Neighbourhood Crime Rates - City of Toronto Open Data Portal,Toronto Police Services,,"This dataset includes the Crime Data by Neighbourhood. Counts are available for Assault, Auto Theft, Break and Enter, Robbery, Theft Over, Homicide and Shooting & Firearm Discharges. Data also includes the crime rate per 100,000 population calculated using the population estimates provided by Environics Analytics.","Apr 4, 2023",Open Government License - Toronto,Annually,
Neighbourhood Improvement Areas - City of Toronto Open Data Portal,"Social Development, Finance & Administration",docx,"Neighbourhood Improvement Areas are specially-selected and designated neighbourhoods in the City of Toronto found to have inequities on several indicators of well-being. Currently 31 out of 140 neighbourhoods are designated as NIAs as part of the Toronto Strong Neighbourhoods 2020 (TSNS2020) project. This dataset superceded the previous 13 Priority Areas in April 2014. For further details please read the technical documentation found in the download package or visit www.toronto.ca/neighbourhoods. For a link to the older 13 Priority Areas used between 2005 and 2013, go here: Priority Investment Neighbourhoods","Dec 19, 2022",Open Government License - Toronto,As available,
Neighbourhood Profiles - City of Toronto Open Data Portal,"Social Development, Finance & Administration",xlsx,"The Census of Population is held across Canada every 5 years and collects data about age and sex, families and households, language, immigration and internal migration, ethnocultural diversity, Aboriginal peoples, housing, education, income, and labour. City of Toronto Neighbourhood Profiles use this Census data to provide a portrait of the demographic, social and economic characteristics of the people and households in each City of Toronto neighbourhood. The profiles present selected highlights from the data, but these accompanying data files provide the full data set assembled for each neighbourhood.","Oct 6, 2023",Open Government License - Toronto,As available,100%
Neighbourhoods - City of Toronto Open Data Portal,"Social Development, Finance & Administration",,"""Toronto’s 158 neighbourhoods are a microcosm of the city’s inhabitants, cultures and life. The primary purpose of the City-designated social planning neighbourhoods is to help City staff collect data, plan, analyze and forecast City services. While these neighbourhoods may not fully encompass every historical neighbourhood area, they do provide a way for planners and researchers to track information about them over time.\r\nThe neighbourhood profiles were developed to help government and community agencies with their local planning, by providing socio-economic data at a meaningful geographic area. Unlike other geographies like wards or dissemination blocks, the boundaries of these social planning neighbourhoods change very infrequently over time, allowing researchers to perform longitudinal studies to see the changes in each area. Not all people define neighbourhoods the same way, but for the purposes of statistical reporting these neighbourhoods were defined based on Statistics Canada census tracts.","Jun 27, 2022",Open Government License - Toronto,As available,
Non Regulated Lead Sample - City of Toronto Open Data Portal,Toronto Water,,The City's Residential Lead Testing Program is a non-regulated program provided free of charge to residents concerned about the possibility of lead in their tap drinking water.,"Oct 12, 2023",Open Government License - Toronto,Daily,100%
On-Street Permit Parking Area Maps - City of Toronto Open Data Portal,Transportation Services,,FID - System field,"Oct 5, 2023",Open Government License - Toronto,Daily,
Ontario Early Years Centres (Toronto) - City of Toronto Open Data Portal,"Social Development, Finance & Administration",shp,This data set is retired. A new data set replaces at:Child & Family Programs,"Jul 23, 2019",Open Government License - Toronto,Will not be Refreshed,
Outbreaks in Toronto Healthcare Institutions - City of Toronto Open Data Portal,Toronto Public Health,,"Under the Ontario Health Protection and Promotion Act (HPPA), healthcare institutions (hospitals, long-term care homes and retirement homes) are required to monitor staff and patients/residents for signs and symptoms of gastroenteric (e.g., nausea, vomiting, diarrhea, fever) and respiratory (e.g., cough, runny nose, sore throat, fever) infections. Healthcare institutions must also actively look for, detect and report suspected and/or confirmed outbreaks to their local public health unit.  An outbreak is defined as a localized increase (e.g. in an institution, or a specific ward or floor within an institution) in the rate of infection or illness, above that which is expected.","Oct 12, 2023",Open Government License - Toronto,Weekly,100%
Paramedic Services 911 Language Interpretation - City of Toronto Open Data Portal,Toronto Paramedic Services,xlsx,This dataset provides a list of instances when Toronto Paramedic Services' Emergency Medical Dispatchers utilized a designated language translation service during medical emergency 9-1-1 calls to provide translation into English. The service allows 9-1-1 callers to access life-saving Paramedic services in over 240 languages.,"Mar 10, 2023",Open Government License - Toronto,Annually,75%
Paramedic Services Incident Data - City of Toronto Open Data Portal,Toronto Paramedic Services,xlsx,"This dataset provides information relating to all incidents to which Toronto Paramedic Services responds, including the general incident type, priority and number of units arrived at scene.  For privacy purposes data related to medical incidents does not provide personal information, and Major Street and Cross Street fields have been removed, with only the Forward Sortation Area being provided for general location purposes.","Oct 5, 2023",Open Government License - Toronto,Annually,75%
Park and Recreation Facility Projects - City of Toronto Open Data Portal,"Parks, Forestry & Recreation",,A city builds parks and recreation facilities so its people can build community. Investing in the right parks and facilities at the right times and in the right places ensures our city is meeting the needs of its residents now and for future generations.,"Oct 7, 2023",Open Government License - Toronto,Weekly,
Park and Recreation Facility Study Areas - City of Toronto Open Data Portal,"Parks, Forestry & Recreation",,"Parks, Forestry and Recreation develops plans and strategies to help guide how we invest in parks and recreation facilities. These plans and strategies are informed by studies which investigate how communities are being served by their parks and recreation facilities.","Dec 13, 2022",Open Government License - Toronto,Quarterly,
Parks - City of Toronto Open Data Portal,"Parks, Forestry & Recreation",shp,This dataset is no longer accurate. Please see Green Spaces for the most accurate and up to date data. ,"Apr 22, 2022",Open Government License - Toronto,Will not be Refreshed,
Parks Drinking Water Sources - City of Toronto Open Data Portal,"Parks, Forestry & Recreation",json,"This dataset includes data on drinking water sources (i.e. drinking fountains, bottle filling stations, dog fountains and combination units) operated by the City of Toronto Parks, Forestry and Recreation (PFR) division. Only drinking water sources that have been deemed as operational at the time of data validation exercise are included in this dataset. Drinking water sources have a ""turn on"" and ""turn off"" time period (turn on - May and turn off - October) and do not function throughout the entire year. ","Oct 7, 2023",Open Government License - Toronto,Daily,
Patrol Zones - City of Toronto Open Data Portal,Toronto Police Services,,This dataset includes the Toronto Police Service patrol zone boundaries updated as of 2018. The first two digits of the patrol zone indicate the division that they are associated to. Patrol zone 581 refers to Toronto Island.,"Apr 22, 2022",Open Government License - Toronto,As available,
Pedestrian Network - City of Toronto Open Data Portal,Information & Technology,shp,"The Pedestrian Network (pednet) was created by the DAV team at the City of Toronto, and it is based on the sidewalk inventory from Transportation Services, Toronto road centrelines, and manual collection from aerial imagery. Pednet is integrated with centerline intersections, traffic signals, pedestrian crosswalks and crossovers, traffic signal data from Transportation Services as well as other City of Toronto datasets.","Nov 29, 2022",Open Government License - Toronto,As available,
Persons in Crisis Calls for Service Attended - City of Toronto Open Data Portal,Toronto Police Services,,"This dataset includes all Persons in Crisis (PIC) calls for service attended (CFSA) which includes the following Event Types: Attempt Suicide, Person in Crisis, Elopee, Jumper, Overdose and Threaten Suicide. This dataset includes only events that were attended by an officer of the Toronto Police Service (TPS), but excludes events attended by TPS members in Parking, Marine, Court or Primary Report Intake Management and Entry (PRIME). This dataset is queried based on reported date.","Apr 4, 2023",Open Government License - Toronto,Semi-annually,96%
Police Annual Statistical Report - Homicides - City of Toronto Open Data Portal,Toronto Police Services,,This dataset includes all Homicides occurrences by occurred date.,"May 3, 2023",Open Government License - Toronto,Annually,
Police Annual Statistical Report - Personnel by Command - City of Toronto Open Data Portal,Toronto Police Services,,"The Toronto’s Police Service Annual Statistical Report (ASR) is a comprehensive overview of police related statistics including reported crimes, victims of crime, search of persons, firearms, traffic collisions, personnel, budget, communications, public complaints, regulated interactions and other administrative information. ","Nov 18, 2022",Open Government License - Toronto,Annually,100%
Police Annual Statistical Report - Reported Crimes - City of Toronto Open Data Portal,Toronto Police Services,,"The Toronto’s Police Service Annual Statistical Report (ASR) is a comprehensive overview of police related statistics including reported crimes, victims of crime, search of persons, firearms, traffic collisions, personnel, budget, communications, public complaints, regulated interactions and other administrative information. ","Nov 18, 2022",Open Government License - Toronto,Annually,100%
Pre-Hospital Emergency Care Performance Metrics - City of Toronto Open Data Portal,Toronto Paramedic Services,xlsx,"For the years 2014 to 2020 inclusive, this dataset provides the number of emergency calls (unique incidents) to which Toronto Paramedic Services (TPS) responded, the number of emergency patients transported by TPS to hospital, and TPS' 90th percentile response times to life-threatening calls.","Mar 10, 2023",Open Government License - Toronto,Annually,75%
Rain Gauge Locations and Precipitation - City of Toronto Open Data Portal,Toronto Water,csv,This dataset contains the locations of all rain gauge equipment across the city of Toronto as well as the precipitation measured. The City's rain gauge network consists of 3-season and 4-season gauges.  The 3-season gauges measure and record precipitation amounts from April 1st to October 31st.   The 4-season gauges are operational year-round,"Oct 12, 2023",Open Government License - Toronto,Monthly,90%
Ravine & Natural Feature Protection area - City of Toronto Open Data Portal,"Parks, Forestry & Recreation",shp,Ravine & Natural Feature Protection area and limit as regulated by City of Toronto Municipal Code Chapter 658 - Ravine & Natural Feature Protection.,"Jul 23, 2019",Open Government License - Toronto,As available,75%
Safety Zone Watch Your Speed Program – Monthly Summary - City of Toronto Open Data Portal,Transportation Services,,"The WYSP uses devices called speed display signs or driver feedback signs which contain a radar device and an LED display. These signs are installed against an existing hydro pole or streetlight. The radar measures the speeds of oncoming vehicles and the LED sign displays their speeds to the passing motorists, thereby reminding them to check their speeds and to obey speed limits. The City’s permanent units are installed in Safety Zones. This dataset contains the monthly summary of observed speeds for these signs. See Detailed Speed Counts for hourly speed counts recorded by these signs and Location Data for details on where and when signs were installed.","Oct 6, 2023",Open Government License - Toronto,Monthly,100%
School Locations - All Types - City of Toronto Open Data Portal,Toronto Police Services,,A geographical file covering the City of Toronto that contains all the point location of schools that we have.  It also contains the private schools to the best of our knowledge.,"Oct 8, 2023",Open Government License - Toronto,Semi-annually,
School Safety Zone Watch Your Speed Program – Detailed Speed Counts - City of Toronto Open Data Portal,Transportation Services,zip,"The WYSP uses devices called speed display signs or driver feedback signs which contain a radar device and an LED display. These signs are installed on a dedicated wooden pole. The radar measures the speeds of oncoming vehicles and the LED sign displays their speeds to the passing motorists, thereby reminding them to check their speeds and to obey speed limits. The City’s permanent units are installed in Safety Zones. This dataset contains an hourly aggregation of observed speeds for each sign installation in 5km/hr speed range increments. See Location Data for details on where and when signs were installed. and Monthly Summary Data for a monthly summary of these speed data","Sept 11, 2023",Open Government License - Toronto,Monthly,75%
School Safety Zone Watch Your Speed Program – Locations - City of Toronto Open Data Portal,Transportation Services,,"The WYSP uses devices called speed display signs or driver feedback signs which contain a radar device and an LED display. These signs are installed on a dedicated wooden pole. The radar measures the speeds of oncoming vehicles and the LED sign displays their speeds to the passing motorists, thereby reminding them to check their speeds and to obey speed limits. The City’s permanent units are installed in Safety Zones. This dataset contains the locations and operating parameters for installed signs. See Detailed Speed Counts for hourly speed counts recorded by these signs and Monthly Summary Data for a monthly summary of these speed data","Oct 6, 2023",Open Government License - Toronto,Monthly,
Secondary Plans - City of Toronto Open Data Portal,City Planning,,"Secondary Plans are more detailed local development policies to guide growth
and change in a defined area of the City.","Nov 29, 2022",Open Government License - Toronto,Annually,
Seniors Survey 2017 - City of Toronto Open Data Portal,"Social Development, Finance & Administration",xlsx,"Convenience survey conducted in 2017 as part of the City's Seniors' Strategy, to identify various needs of Toronto's seniors' population, in order to better inform on relevant recommendations.","Dec 31, 2017",Open Government License - Toronto,As available,75%
"Sexual Health Clinic Locations, Hours and Services - City of Toronto Open Data Portal",Toronto Public Health,xlsx,"Clinic Name - Name of the clinic
Clinic Location - Rough location of the clinic
Address - Street address
Contact Number - Phone number of contact
Operational Hours - Hours of operation by type
Drop-in - Drop in hours
By Appointment - Hours of operation with appointment
Services - List of services provided by the clinic","Aug 15, 2019",Open Government License - Toronto,As available,75%
Shelter Profile Information - City of Toronto Open Data Portal,"Shelter, Support & Housing Administration",xlsx,The dataset has been collected and made public to Council and on the City's Web Site.,"Dec 31, 2011",Open Government License - Toronto,As available,75%
Shootings & Firearm Discharges - City of Toronto Open Data Portal,Toronto Police Services,,This dataset contains all shooting-related occurrences reported to the Toronto Police Service. ,"Apr 4, 2023",Open Government License - Toronto,Annually,
Short Term Rentals Registration - City of Toronto Open Data Portal,Municipal Licensing & Standards,,"The short-term rental regulation is based on Toronto Municipal Code Chapter 547, Licensing and Registration of Short-Term Rentals. A short-term rental is all or part of a dwelling unit rented out for less than 28 consecutive days in exchange for payment. This includes bed and breakfasts (B&Bs) but excludes hotels and motels. It also excludes other accommodations where there is no payment.","Oct 12, 2023",Open Government License - Toronto,Daily,100%
Sidewalk Inventory - City of Toronto Open Data Portal,Transportation Services,shp,"The sidewalk inventory provides information on the location of sidewalks along all transportation corridors within the City of Toronto limits. City centreline data was utilized as the base network while aerial photography (orthoimagery) captured in spring of 2015 was used to determine sidewalk presence. The sidewalk inventory is used by City staff in addition to others such as consultants hired by the City for various purposes (e.g. infrastructure planning, maintenance planning, safety studies, area specific studies, Environmental Assessments and Transportation Master Plans). The Essential Links Capital Program utilizes this inventory in order to identify and prioritize building of new sidewalk links.","Jul 23, 2019",Open Government License - Toronto,As available,75%
Sign Bylaw Districts - City of Toronto Open Data Portal,Toronto Building,,"The data layer shows the sign district designations of all properties in the City of Toronto - the sign bylaw 
regulations/permissions/restrictions that are applicable to each property in the city are based on its sign 
district designation. The data is used in conjunction with a City of Toronto map so that individual properties 
can be searched by address or through a zoom tool. The city provides this data to the public through an 
online mapping and search tool at: https://map.toronto.ca/maps/map.jsp?app=SignView_2","Apr 22, 2022",Open Government License - Toronto,As available,
Signs - Third Party Sign Inventory - City of Toronto Open Data Portal,Toronto Building,zip,See Toronto Building - Third Party Sign Inventory by Ward Readme.xls,"Jul 26, 2021",Open Government License - Toronto,Annually,75%
Site and area Specific policies - City of Toronto Open Data Portal,City Planning,,"Throughout the City are sites and areas that require policies that vary from
one or more of the provisions of the Official Plan and may require a further
layer of local policy direction for an area. In most cases, the site and area
specific policies provide direction on land use.","Nov 29, 2022",Open Government License - Toronto,Annually,
Small Business Property Tax Subclass: Eligible Properties - City of Toronto Open Data Portal,Revenue Services,xlsx,"On November 9, 2021, City Council approved a 15 per cent reduction in the tax rate for small businesses who meet the eligibility criteria for the new small business property tax subclass. This dataset includes all eligible properties in the small business property tax subclass from 2022 and beyond. The list of properties was determined in accordance with City of Toronto By-law 924-2021. ","Jun 27, 2023",Open Government License - Toronto,Annually,65%
