Page Title,Owner,File Formats,Description,Date Last Updated,License,Update Frequency,Access
Social Housing Unit Density by Neighbourhoods - City of Toronto Open Data Portal,"Shelter, Support & Housing Administration",xlsx,"This dataset contains unit density profiles of Social Housing in the City of Toronto for the 140 neighbourhoods that make up the City of Toronto. For Reference Period 2014: Social housing units including Toronto Community Housing Corporation locations, Housing Connections locations, non-profits and co-op developments participating in the Social Housing Wait List.","Oct 31, 2015",Open Government License - Toronto,As available,75%
"Social Housing - Wait List , Rent Bank Loans Granted and Shelter Use Summary - City of Toronto Open Data Portal","Shelter, Support & Housing Administration",xls,"See ""SSHA Social Housing Summary Readme"" File","Jan 31, 2016",Open Government License - Toronto,Will not be Refreshed,
SolarTO - City of Toronto Open Data Portal,Environment & Energy,,"The City of Toronto’s SolarTO Map was created through a Geographic Information Systems (GIS) analysis of Light Detection and Ranging (LiDAR) data. The software takes into account geographical latitude, as well as the sun’s daily position throughout the year. When users input their address, the Map generates an estimate of solar photovoltaic (PV) system size that can fit on the roof, its cost, savings and payback period in addition to greenhouse gas emission reduction calculations.","Oct 6, 2023",Open Government License - Toronto,Annually,
Solid Waste Daytime Curbside Collection Areas - City of Toronto Open Data Portal,Solid Waste Management Services,shp,See Readme file ,"Jul 23, 2019",Open Government License - Toronto,As available,75%
Solid Waste In-Park Assets - City of Toronto Open Data Portal,Solid Waste Management Services,shp,"Locations and attributes of physical assets, which are owned, serviced, or both, by Solid Waste Management Services in City of Toronto parks. Due to construction, accidents, misplacements and other eventualities, this data is not to be taken as entirely complete or accurate. Coordinates of assets are usually accurate to within 1 metre.","Jul 23, 2019",Open Government License - Toronto,Quarterly,75%
Solid Waste Management Districts - City of Toronto Open Data Portal,Solid Waste Management Services,shp,The Harmonized Waste Collection Area layer covers the entire City of Toronto.  These boundaries are used for management purposes of daytime collection routes.,"Jul 23, 2019",Open Government License - Toronto,As available,75%
Solid Waste Management Services - Transfer Station Locations - City of Toronto Open Data Portal,Solid Waste Management Services,shp,"FID - system field, record identifier  ","Jul 23, 2019",Open Government License - Toronto,As available,75%
Solid Waste Collection Schedule - City of Toronto Open Data Portal,Solid Waste Management Services,,"This dataset contains the schedules for Organics (Green Bin), Garbage, Recycling (Blue Bin), Yard Waste and Christmas Trees for single-family residential households (less than 9 units) that receive daytime collection.","Dec 14, 2022",Open Government License - Toronto,Annually,100%
Solid Waste - Recycled Material Sales Revenue - City of Toronto Open Data Portal,Solid Waste Management Services,xls,"See ""SWM Recycled Material Sales Revenue Readme"" File","Jan 31, 2016",Open Government License - Toronto,Will not be Refreshed,
Special Committee on Governance -- Consultation with Neighbourhood Associations -- Workshop - City of Toronto Open Data Portal,Strategic & Corporate Policy,xlsx,"At their meeting on April 12, 2019, the Special Committee on Governance asked staff to provide targeted engagement opportunities for neighbourhood associations across Toronto to reflect on the impacts to the City's governance structures and decision-making processes that resulted from a reduction in the size of Council. Neighbourhood associations (NAs) are local, geographically focused groups such as neighbourhood coalitions, groups and partnerships, organizations that receive City grants to support community networking, ratepayer groups and resident associations. ","Jan 24, 2020",Open Government License - Toronto,As available,50%
Specialized Patient Transports by Paramedics - City of Toronto Open Data Portal,Toronto Paramedic Services,xlsx,"This dataset provides the number of patients suffering from stroke, STEMI (a type of heart attack) and trauma that were transported by Toronto Paramedic Services to specialized hospitals for definitive treatment of their conditions and bypassing peripheral hospitals. This response and treatment approach is based on clinical research, supporting its effectiveness.","Mar 10, 2023",Open Government License - Toronto,Annually,75%
Special Committee on Governance -- Consultation with Neighbourhood Associations -- Workshop - City of Toronto Open Data Portal,Strategic & Corporate Policy,xlsx,"At their meeting on April 12, 2019, the Special Committee on Governance asked staff to provide targeted engagement opportunities for neighbourhood associations across Toronto to reflect on the impacts to the City's governance structures and decision-making processes that resulted from a reduction in the size of Council. Neighbourhood associations (NAs) are local, geographically focused groups such as neighbourhood coalitions, groups and partnerships, organizations that receive City grants to support community networking, ratepayer groups and resident associations. ","Jan 24, 2020",Open Government License - Toronto,As available,50%
Stillbirth Registration Statistics - City of Toronto Open Data Portal,City Clerk's Office,,"This dataset includes information about registration of stillbirths documented
by Registry Services at the Etobicoke Civic Centre. Registration of
stillbirths is entered into the Registry Services Tracking System (RSTS), from
which aggregate statistical information is generated to create the dataset.
The dataset resides in an Oracle database in the City's environment.","Oct 1, 2023",Open Government License - Toronto,Monthly,100%
Street Furniture - Bench - City of Toronto Open Data Portal,Transportation Services,,"The City of Toronto entered into a 20-year contractual agreement with Astral
Out-of-Home in 2007 for the installation and maintenance of up to 25,000
street furniture elements including up to 2,500 benches.  This program is a
public-private partnership wherein Astral Out-of-Home manufactures, owns,
cleans, and repairs all of their street furniture within the City of Toronto.","Jun 1, 2023",Open Government License - Toronto,Semi-annually,
Street Furniture - Bicycle Parking - City of Toronto Open Data Portal,Transportation Services,,"The City installs bicycle post-and-rings within the public right-of-way, typically on City of Toronto sidewalks and boulevards, wherever public bicycle parking facilities are needed.","Oct 12, 2023",Open Government License - Toronto,Daily,
Street Furniture - Litter Receptacle - City of Toronto Open Data Portal,Transportation Services,,"The City of Toronto entered into a 20-year contractual agreement with Astral
Out-of-Home in 2007 for the installation and maintenance of up to 25,000
street furniture elements including up to 12,000 litter receptacles.  This
program is a public-private partnership wherein Astral Out-of-Home
manufactures, owns, cleans, and repairs all of their street furniture within
the City of Toronto.","Jun 1, 2023",Open Government License - Toronto,Semi-annually,
Street Furniture - Poster Structure - City of Toronto Open Data Portal,Transportation Services,,"The City of Toronto entered into a 20-year contractual agreement with Astral
Out-of-Home in 2007 for the installation and maintenance of up to 25,000
street furniture elements including up to 800 poster structures.  This program
is a public-private partnership wherein Astral Out-of-Home manufactures, owns,
cleans, and repairs all of their street furniture within the City of Toronto.","Jun 1, 2023",Open Government License - Toronto,Semi-annually,
Street Furniture - Public Washroom - City of Toronto Open Data Portal,Transportation Services,,"The City of Toronto entered into a 20-year contractual agreement with Astral
Out-of-Home in 2007 for the installation and maintenance of up to 25,000
street furniture elements including up to 10 public washrooms.  This program
is a public-private partnership wherein Astral Out-of-Home manufactures, owns,
cleans, and repairs all of their street furniture within the City of Toronto.","Nov 29, 2022",Open Government License - Toronto,Semi-annually,
Street Furniture - Publication Structure - City of Toronto Open Data Portal,Transportation Services,,"The City of Toronto entered into a 20-year contractual agreement with Astral
Out-of-Home in 2007 for the installation and maintenance of up to 25,000
street furniture elements including up to 2,500 publication structures.  This
program is a public-private partnership wherein Astral Out-of-Home
manufactures, owns, cleans, and repairs all of their street furniture within
the City of Toronto.","Nov 29, 2022",Open Government License - Toronto,Semi-annually,
Street Furniture - Transit Shelter - City of Toronto Open Data Portal,Transportation Services,,"The City of Toronto entered into a 20-year contractual agreement with Astral
Out-of-Home in 2007 for the installation and maintenance of up to 25,000
street furniture elements including up to 6,000 transit shelters.  This
program is a public-private partnership wherein Astral Out-of-Home
manufactures, owns, cleans, and repairs all of their street furniture within
the City of Toronto.","Jun 1, 2023",Open Government License - Toronto,Semi-annually,
Street Tree Data - City of Toronto Open Data Portal,"Parks, Forestry & Recreation",geojson,"This data primarily pertains to City-owned trees located on road allowances across Toronto. The intent of the database is to provide an inventory of City owned-trees on the road allowance for inspection and maintenance. Urban Forestry has had requests to determine ownership of trees within the road allowance, and where this has confirmed private ownership, these trees may be in the database as well for future reference.","Oct 4, 2023",Open Government License - Toronto,Monthly,
"Supportive Housing Locations, City Operated - City of Toronto Open Data Portal",Seniors Services & Long-Term Care,shp,"See ""Supportive Housing Locations Readme"" file","Jul 23, 2019",Open Government License - Toronto,As available,75%
Taxicab Stand Locations - City of Toronto Open Data Portal,Municipal Licensing & Standards,shp,See Readme in Shapefile and Attrbutes in Excel,"Jul 23, 2019",Open Government License - Toronto,As available,75%
TCDSB - Schools - City of Toronto Open Data Portal,Toronto Catholic District School Board,,"This dataset contains the locations of the elementary and secondary schools owed by the TCDSB within Toronto. Containing attributes such as: Name, Panel (Elementary, Secondary and Alternative/Adult Learning), Address and Geographic location.","Apr 22, 2022",Open Government License - Toronto,Annually,
Tenant Notification for Rent Reduction - City of Toronto Open Data Portal,Revenue Services,xlsx,See attached for readme file.,"Dec 15, 2022",Open Government License - Toronto,Annually,100%
Tennis Courts Facilities - City of Toronto Open Data Portal,"Parks, Forestry & Recreation",xlsx,This dataset includes data on tennis court locations that belong to the City of Toronto. Every tennis court location is considered an asset. In most cases the name of the asset coincides with the name of the park where the courts are located. A tennis court location normally includes multiple tennis court areas: usually 1-3. Certain number of courts (2-3) located in immediate proximity to each other define a tennis court area.  ,"Mar 31, 2017",Open Government License - Toronto,Annually,75%
Theft from Motor Vehicle - City of Toronto Open Data Portal,Toronto Police Services,,"This dataset includes all Theft from Motor Vehicle occurrences by reported date. The Theft from Motor Vehicle offences include Theft from Motor Vehicle Under and Theft from Motor Vehicle Over. This data is provided at the offence and/or victim level, therefore one occurrence number may have several rows of data associated to the various offences used to categorize the occurrence. ","Apr 4, 2023",Open Government License - Toronto,Semi-annually,
Topographic Mapping – Physical area of parking lots - City of Toronto Open Data Portal,Information & Technology,shp,"Polygon layer representing the physical area of parking lots. Part of the City’s topographic mapping products, the data is collected from high resolution aerial photography. The data is a representation of the physical features that are visually identifiable in an aerial photograph. ","Oct 18, 2019",Open Government License - Toronto,Quarterly,50%
Topographic Mapping – Physical area of sidewalks - City of Toronto Open Data Portal,Information & Technology,shp,"Polygon layer representing the physical area of sidewalks. Part of the City’s topographic mapping products, the data is collected from high resolution aerial photography. The data is a representation of the physical features that are visually identifiable in an aerial photograph. ","Oct 18, 2019",Open Government License - Toronto,Quarterly,50%
Topographic Mapping – Physical location of trees - City of Toronto Open Data Portal,Information & Technology,shp,"Point layer representing the physical location of trees. Part of the City’s topographic mapping products, the data is collected from high resolution aerial photography. The data is a representation of the physical features that are visually identifiable in an aerial photograph. ","Oct 18, 2019",Open Government License - Toronto,Quarterly,50%
Topographic Mapping – Impermeable Surface - City of Toronto Open Data Portal,Information & Technology,zip,o Pixel values of 0 indicate impermeable land,"Jul 23, 2019",Open Government License - Toronto,As available,75%
Topographic Mapping – Treed Area - City of Toronto Open Data Portal,Information & Technology,shp,"Polygon layer representing the physical area of trees. Part of the City’s topographic mapping products, the data is collected from high resolution aerial photography. The data is a representation of the physical features that are visually identifiable in an aerial photograph. ","Oct 18, 2019",Open Government License - Toronto,Quarterly,50%
Topographic Mapping - Water Line - City of Toronto Open Data Portal,Information & Technology,,"Line layer representing small waterways. These are for any waterways too narrow to accurately determine both banks of the waterway. For any waterway wide enough to determine both sides of the banks, please refer to the Topographic Mapping - Water Bodies and Rivers dataset.","Jul 19, 2023",Open Government License - Toronto,Quarterly,
Toronto Beaches Water Quality - City of Toronto Open Data Portal,Toronto Public Health,,"The Beach Water Sampling Program for the City of Toronto is a co-operative effort between Toronto Public Health, Toronto Water, the Marine Police Unit, Parks and Recreation Department. It is implemented in accordance with the requirements of the Ministry of Health Beach Management Protocol (January 01, 1998) in order to reduce the incidence of water-borne illness in the population.","Sept 11, 2023",Open Government License - Toronto,As available,
Toronto Centreline (TCL) - City of Toronto Open Data Portal,Information & Technology,zip,"The Toronto Centreline is a data set of linear features representing streets, walkways, rivers, railways, highways and administrative boundaries within the City of Toronto. Each line segment is described with a series of attributes including a unique identifier, name, feature code, and address ranges (where applicable).
In addition to retaining historical archives, threaded archives are also retained that record splits and merges of address points, of linear features and of area features. All features are linked and integrated.","Oct 12, 2023",Open Government License - Toronto,Daily,
Toronto Community Housing Data - City of Toronto Open Data Portal,"Shelter, Support & Housing Administration",zip,This is Toronto Community Housing data covering developments and buildings larger than 5 units with descriptions located within the City of Toronto.,"Apr 22, 2022",Open Government License - Toronto,Annually,
Toronto District School Board Locations - City of Toronto Open Data Portal,311 Toronto,,The data is collected and maintained by the Planning Division of the Toronto District School Board in order to support daily operations at the Board. This point file is best used when it is overlaid with the City of Toronto's street and address coverage.,"Dec 1, 2022",Open Government License - Toronto,As available,
Toronto Economic Bulletin - City of Toronto Open Data Portal,Economic Development & Culture,xlsx,"The Toronto Economic Bulletin provides a monthly snapshot of the city/regional economy. It contains data on labour market information, GDP estimates, real estate activity, retail sales, transportation and city rankings.","Jun 20, 2022",Open Government License - Toronto,Monthly,90%
Toronto Employment Survey Summary Tables - City of Toronto Open Data Portal,City Planning,zip,"The Toronto Employment Survey Bulletin summarizes the highlights of the field survey by City Planning. Surveyors visit all businesses in the city to collect information about the number of employees working in each business located within the city of Toronto boundaries, and the type of work that is taking place. Each business provides information on the number of full- and part-time employees as well as the type of employment activity taking place at each location. For more information, refer to the bulletin.","May 7, 2021",Open Government License - Toronto,As available,75%
Toronto Fire Services Run Areas - City of Toronto Open Data Portal,Fire Services,shp,"A run area is a geographical area in proximity to a fire station that is normally served by the personnel and apparatus from that facility in the event of a fire, rescue or other emergency. There are 84 run areas in the City of Toronto. Run area boundaries have been derived from the Computer Aided Dispatch (CAD) system. This shapefile provides an approximate representation of the run area boundaries in the CAD system.","Oct 21, 2022",Open Government License - Toronto,As available,
Toronto Office of Recovery and Rebuild Group Discussion - Vulnerable Populations - City of Toronto Open Data Portal,Toronto Office of Recovery and Rebuild,xlsx,"From June 24 to July 24, 2020, the City of Toronto contracted Social Planning Toronto (a local non-governmental organization) to conduct additional outreach to equity-seeking or vulnerable residents and groups on their ideas and priorities for response and recovery from the COVID-19 pandemic. This data set contains the responses (in group discussions) to an online and phone survey conducted as part of this outreach.","Oct 14, 2020",Open Government License - Toronto,As available,75%
Toronto Office of Recovery and Rebuild – Public Survey Results - City of Toronto Open Data Portal,Toronto Office of Recovery and Rebuild,xlsx,"While the City continues to work on reducing the spread of COVID-19 and ensuring the delivery of essential and critical City services, it is also working to prepare for Toronto’s recovery.
The City established the Toronto Office of Recovery and Rebuild (TORR) in April 2020 to:
 
•    coordinate engagement and research 
•    develop the City’s recovery strategies 
•    recommend actions to rebuild and reimagine the way the City delivers programs and services.
 
Since the outset of the COVID-19 pandemic, the City has received input from residents and businesses through many different avenues including outreach by the Mayor’s Economic Support and Recovery Task Force. This feedback has helped shape the City’s response to the crisis, and will help shape future actions to recover and rebuild. 
On May 29th, 2020, the Toronto Office of Recovery and Rebuild launched a public survey to hear from residents, community groups and businesses on how they have been affected and how we can work together to recover, rebuild and support the long term success of the city.","Oct 14, 2020",Open Government License - Toronto,As available,75%
Toronto Office of Recovery and Rebuild Story Form – Vulnerable Populations - City of Toronto Open Data Portal,Toronto Office of Recovery and Rebuild,xlsx,"From June 24 to July 24, 2020, the City of Toronto contracted Social Planning Toronto (a local non-governmental organization) to conduct additional outreach to equity-seeking or vulnerable residents and groups on their ideas and priorities for response and recovery from the COVID-19 pandemic. This data set contains the responses (in story form) to an online and phone survey conducted as part of this outreach.","Oct 14, 2020",Open Government License - Toronto,As available,75%
Toronto Office of Recovery and Rebuild Survey for Individuals - Vulnerable Populations - City of Toronto Open Data Portal,Toronto Office of Recovery and Rebuild,xlsx,"From June 24 to July 24, 2020, the City of Toronto contracted Social Planning Toronto (a local non-governmental organization) to conduct additional outreach to equity-seeking or vulnerable residents and groups on their ideas and priorities for response and recovery from the COVID-19 pandemic. This data set contains 965 responses to an online and phone survey conducted as part of this outreach.  ","Oct 14, 2020",Open Government License - Toronto,As available,75%
Toronto Police Budget - City of Toronto Open Data Portal,Toronto Police Services,,This dataset includes a line-by-line breakdown of the Toronto Police Service’s approved budget and actual expenditures at a Service-wide level. Approved budget and actual expenditures are defined as follows: ,"Mar 10, 2022",Open Government License - Toronto,Annually,90%
Toronto Police Budget By Command - City of Toronto Open Data Portal,Toronto Police Services,,"This dataset includes a summarized breakdown of the Toronto Police Service approved budget and actual expenditures by command at a Service-wide level from 2016-2020. Approved budget and actual expenditures are defined as follows: 
•    Approved Budget: Operating funding approved by the Toronto Police Services Board and City Council for a specific fiscal year.
•    Actual Expenditures: Operating expenses incurred by the Toronto Police Service during a fiscal year.","Mar 10, 2022",Open Government License - Toronto,Annually,100%
Toronto Police Staffing by Command - City of Toronto Open Data Portal,Toronto Police Services,,This datasets includes the Toronto Police Service’s approved and actual staffing level from 2016-2020 summarized by command. ,"Mar 10, 2022",Open Government License - Toronto,Annually,100%
Toronto's Dashboard Key Indicators - City of Toronto Open Data Portal,City Manager's Office,,Key indicator data from City of Toronto divisions and agencies are shared with the City Manager's Office and made available through the Toronto's Dashboard application. Toronto’s Dashboard data is used to assess trends and directions of key indicators for Toronto as a whole and for City of Toronto services. ,"Oct 12, 2023",Open Government License - Toronto,Daily,100%
Toronto Shelter System Flow - City of Toronto Open Data Portal,"Shelter, Support & Housing Administration",,"The City of Toronto funds and operates services dedicated to people experiencing homelessness in Toronto. The overnight services, including emergency shelters, respites, and other allied services (including hotel/motel programs and warming centres), use the Shelter Management Information System (SMIS) to intake people who are accessing these services into their programs.","Sept 15, 2023",Open Government License - Toronto,Monthly,100%
Toronto Signature Sites - City of Toronto Open Data Portal,Economic Development & Culture,,"This dataset provides a collection of large industrial & commercial properties for sale or lease in Toronto. Signature Sites is a listing of select industrial and commercial development and redevelopment properties for sale or lease in Toronto. The sites featured here are selected based on location, permitted uses and size (minimum of three acres for vacant land and 50,000 sq. ft. for existing buildings).","Oct 1, 2023",Open Government License - Toronto,Monthly,
Traffic and Parking By-Law Schedules - City of Toronto Open Data Portal,Transportation Services,zip,"Traffic and parking by-law data from 44 Schedules to City of Toronto Municipal Code Chapter 950, Traffic and Parking, including ""No Parking"", ""No Stopping"", ""No Standing"", ""Parking for Restricted Periods"", ""Reserved Lanes for Designated Classes of Vehicles"", ""Prohibited Turns"", ""Speed Limits"", etc.","Aug 17, 2021",Open Government License - Toronto,Quarterly,65%
Traffic Calming Database - City of Toronto Open Data Portal,Transportation Services,shp,"Vision Zero Project Unit uses this data to track and to visualize the location of traffic calming implementations such as traffic islands, speed cushion and speed humps. Currently Vision Zero Project Unit has this display in our public Vision Zero dashboard","Apr 20, 2023",Open Government License - Toronto,Semi-annually,90%
Traffic Cameras - City of Toronto Open Data Portal,Transportation Services,,"The Traffic Camera dataset contains the location and number for every Traffic camera in the City of Toronto. These datasets will be updated within 2 minutes when cameras are added, changed, or removed.    ","Oct 4, 2023",Open Government License - Toronto,As available,
Traffic Control Devices - City of Toronto Open Data Portal,Transportation Services,,"The Traffic Systems Delivery (TSD) map tracks Traffic Control Devices (TCDs) that are upcoming or recently activated. Currently TSD has data available for the following TCDs, more will be added as we expand our data set: ","Oct 7, 2023",Open Government License - Toronto,As available,
Traffic Counts - Cycling - City of Toronto Open Data Portal,Transportation Services,zip,The City of Toronto's Transportation Services Division collects traffic volume data across the city from a variety of sources for a number of purposes. This data generally takes one of two forms:,"Sept 19, 2019",Open Government License - Toronto,Monthly,50%
Traffic Signal Vehicle and Pedestrian Volumes - City of Toronto Open Data Portal,Transportation Services,xlsx,This dataset contains the most recent 8 peak hour vehicle and pedestrian volume counts collected at intersections where there are traffic signals.  The data is typically collected between the hours of 7:30 a.m. and 6:00 p.m.,"Mar 31, 2018",Open Government License - Toronto,Annually,
Traffic Signals Tabular - City of Toronto Open Data Portal,Transportation Services,xlsx,"Please see ""Traffic Signal Tabular Readme"" for more info","Oct 7, 2023",Open Government License - Toronto,As available,
Traffic Volumes at Intersections for All Modes - City of Toronto Open Data Portal,Transportation Services,,The City of Toronto's Transportation Services Division collects traffic volume data across the city from a variety of sources for a number of purposes. This data generally takes one of two forms:,"Oct 12, 2023",Open Government License - Toronto,Daily,100%
TransformTO Community Feedback - City of Toronto Open Data Portal,Environment & Energy,xlsx,"From August 2015 to July 2016, TransformTO's first phase of engagement encouraged residents to contribute their ideas to a shared vision of a low-carbon Toronto in 2050. A variety of engagement and outreach tools promoted participation from residents, community groups and stakeholders online and at events. More than 2,000 residents identified ideas and actions that will help build a healthy, equitable and prosperous Toronto as well as achieve our 80% greenhouse gas emissions reduction target by 2050. All of the community feedback, community-submitted reports and other submissions were compiled and summarized in a Community Engagement Report.","Jul 31, 2016",Open Government License - Toronto,As available,75%
TransformTO Net Zero Strategy Public Consultation – Resident Survey - City of Toronto Open Data Portal,Environment & Energy,csv,"In response to City Council’s climate emergency declaration in 2019, the City is updating its TransformTO 
climate action strategy to meet an accelerated greenhouse gas emissions reduction target of net zero by 
2050 or sooner. This includes reaching a short-term target to reduce emissions by 65 per cent from 1990 
levels by 2030; a key milestone on the path to net zero.","Jan 5, 2022",Open Government License - Toronto,As available,50%
Transportation Innovation Zones - Stakeholder Workshops Results - City of Toronto Open Data Portal,Transportation Services,,"The City of Toronto hosted four online workshops in mid-September 2020 to gather feedback and recommendations from stakeholders on a proposed Transportation Innovation Zone (TIZ) program. The workshops had a total of 93 participants representing a wide range of organization types and interests. The workshops were hosted on the City's Webex Meetings web conferencing platform, and made use of the GroupMap.com online tool for collaborative idea rating on participant generated statements (ideas) in the form of questions and suggestions.  This dataset is the export of results from these four GroupMap sessions.","Mar 10, 2022",Open Government License - Toronto,As available,100%
Travel Times - Bluetooth - City of Toronto Open Data Portal,Transportation Services,zip,"The City of Toronto collects travel time data from Bluetooth and WiFi sensors on streets and highways across the City. Travel times are derived from individual point (i.e. single location) observations, generated when a vehicle or mobile device passes by a Bluetooth/WiFi sensor. Historical data (refreshed monthly) and a real-time feed are both available to the public.","Jul 23, 2019",Open Government License - Toronto,Annually,75%
Triangular Irregular Network (TIN) - City of Toronto Open Data Portal,Information & Technology,shp,Triangular Irregular Network (TIN) polygon elevation data. This TIN was derived from a 2015 LiDAR-derived  2.5 metre resolution bare-earth elevation source data.,"Mar 4, 2021",Open Government License - Toronto,As available,90%
TTC Bus Delay Data - City of Toronto Open Data Portal,Toronto Transit Commission,xlsx,TTC Bus Delay Data,"Sept 14, 2023",Open Government License - Toronto,Monthly,65%
TTC Real-Time Next Vehicle Arrival (NVAS) - City of Toronto Open Data Portal,Toronto Transit Commission,pdf,TTC will be revising their current process and producing an updated documentation with a target date of Q1 2024.,,Open Government License - Toronto,Real-time,100%
TTC Ridership - All Day Weekday for Surface Routes - City of Toronto Open Data Portal,Toronto Transit Commission,xlsx,This dataset lists typical all day and peak hour weekday ridership for each TTC surface route based on the latest available ridership counts.,"Dec 31, 2016",Open Government License - Toronto,As available,75%
TTC Ridership Analysis - City of Toronto Open Data Portal,Toronto Transit Commission,xlsx,This dataset measures first point of payment when boarding at the start of a journey using the TTC.,"Jun 1, 2020",Open Government License - Toronto,Annually,75%
TTC Ridership - Subway-Scarborough RT Station Usage - City of Toronto Open Data Portal,Toronto Transit Commission,xlsx,This dataset lists typical subway station/SRT usage by station name (to and from platform).,"Dec 31, 2017",Open Government License - Toronto,Annually,75%
